Title,Description,Status,Priority,Category,Progress,Website ID,Deadline,Public,Tags,Resources,Reflection,Difficulty
Dwayne Johnson treffen,Dwayne Johnson treffen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Personen treffen,0,01290843-3ac6-41eb-b947-406357dde67c,2030-12-31,true,2030,,,
Das Kliemannsland besuchen,Das Kliemannsland besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Reisen & Abenteuer,0,7104766b-9971-4832-af26-6738fbe40341,2026-12-31,true,"2026, travel",,,
Fynn Kliemann treffen,Fynn Kliemann treffen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Personen treffen,0,ccedb15e-1d13-4acf-9552-05dc0d15d2d2,2030-12-31,true,2030,,,
Maximilian Knabe treffen,Maximilian Knabe treffen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Personen treffen,0,b1732326-b044-449a-ae8e-fa3de86304a0,2030-12-31,true,2030,,,
Eine Website erstellen und veröffentlichen,"Vollständige Entwicklung einer interaktiven Website mit React, modernem Design und Hosting. Das Bergkabuff-Projekt als digitale Heimat.",in_progress,high,Tech-Projekte,85,a404b478-b7fd-4c15-8594-67ddb6eac5b7,2025-12-31,true,"2025, tech, priority, website",,,
Einen Youtube Kanal starten und ein gut editiertes Video hochladen,Professioneller YouTube-Kanal mit regelmäßigen Videos über die Bucketlist-Reise. Erstes Video soll mindestens 1000 Aufrufe erreichen.,in_progress,high,Kreative Projekte,60,75edd047-a19d-40d6-9047-dd319be91f69,2025-12-31,true,"2025, creative, priority, youtube",,,
Eine eigene App erstellen und veröffentlichen,Mobile App für iOS und Android mit React Native. Soll die Website ergänzen und unterwegs Bucketlist-Tracking ermöglichen.,planned,high,Tech-Projekte,0,ac1410e2-1956-48bf-b8e4-7b7699f66ac3,2025-12-31,true,"2025, tech, priority",,,
Ein Gaming-Zimmer für mich und meine Frau kreieren,"Gemütlicher Raum für gemeinsame Gaming-Sessions. Zwei Gaming-Stühle, großer Monitor, RGB-Beleuchtung und alles was dazugehört.",in_progress,high,Kreative Projekte,25,cd8b915c-e4ca-43ad-8f8c-df02e139dad6,2025-12-31,true,"2025, creative, priority",,,
Mein eigenes Körpergewicht 3x sauber beim Bankdrücken heben können,"Aktuell bei ca. 2x Körpergewicht. Systematisches Training mit Trainingsplan, Ernährungsoptimierung und Progression tracking.",in_progress,high,Persönliche Challenges,70,72b5a966-8c19-44ac-8ffb-3686d2331896,2025-12-31,true,"2025, personal, priority, fitness",,,
Japanisch lernen N3 Niveau,"Von Grundlagen bis N3-Niveau durch strukturierten Sprachkurs, Anime/Manga und Konversationspraxis. Vorbereitung für Japan-Reise.",in_progress,high,Lernen & Bildung,20,eb1e3967-e876-493e-b184-c28d8aa36f68,2026-12-31,true,"2026, learning, priority, japan",,,
Die Liebe meines Lebens finden,Mission erfolgreich abgeschlossen! Die perfekte Partnerin gefunden und gemeinsam das Leben aufgebaut.,completed,high,Große Lebensziele,100,0f37c141-51a8-4e61-bbff-d82e05065b69,2025-12-31,true,"2025, completed, priority",,,
Ein eigenes Haus kaufen,Eigenheim erworben! Unser 'Bergkabuff' ist jetzt Realität - der perfekte Ort für alle weiteren Projekte.,completed,high,Große Lebensziele,100,9d5e4bd2-a5e1-4d7b-b042-90723a7a11d3,2025-12-31,true,"2025, completed, priority",,,
Einen Hund großziehen,Unser Hund wurde erfolgreich großgezogen und ist ein vollwertiges Familienmitglied geworden.,completed,high,Persönliche Challenges,100,98df6dfc-0d20-4e09-87d9-1ce7bf1c8de6,2025-12-31,true,"2025, personal, completed, priority",,,
Ein Slipknot-Konzert besuchen,Unvergessliches Konzert erlebt! Die Energie und Musik waren genau so episch wie erwartet.,completed,high,Besondere Erlebnisse,100,2989ea60-bb34-4a27-af1d-349dda28c65c,2025-12-31,true,"2025, completed, priority",,,
Einen Baum pflanzen,Baum gepflanzt und damit einen kleinen Beitrag für die Umwelt geleistet.,completed,high,Persönliche Challenges,100,2b60b184-e560-4bb2-889f-c4e980fc3f0e,2025-12-31,true,"2025, personal, completed, priority",,,
Japan besuchen,"Traumreise nach Japan zur Kirschblütenzeit. Tokyo, Kyoto, Osaka erkunden und die Kultur vollständig erleben.",planned,medium,Reisen & Abenteuer,0,feffcc96-b361-455b-a060-03148633a67f,2026-12-31,true,"2026, travel, japan",,,
Jedes Land in Europa besuchen,Jedes Land in Europa besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,in_progress,low,Reisen & Abenteuer,38,67906409-5de3-4d6f-a6d1-b39cef1f3135,2030-12-31,true,"2030, travel",,,
Den rechten Arm sleeven lassen,Den rechten Arm sleeven lassen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,in_progress,medium,Persönliche Challenges,30,e4c629e9-c683-484d-9ec7-3890014e1842,2028-12-31,true,personal,,,
Das Wiehengebirge durchwandern,Das Wiehengebirge durchwandern - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,in_progress,medium,Persönliche Challenges,25,bdd20658-e7a8-4092-bc34-fe3469c97a77,2027-12-31,true,"2027, personal",,,
Eine Bahn im Schwimmbad ohne Hilfe schwimmen,Eine Bahn im Schwimmbad ohne Hilfe schwimmen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Persönliche Challenges,25,5136ec9a-ab6a-4259-9795-edbd5a3a67bc,2027-12-31,true,"2027, personal",,,
Ein eigenes Klemmbausteinset entwerfen,Ein eigenes Klemmbausteinset entwerfen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Kreative Projekte,0,550fa072-17d7-43ca-a192-5d4d163cfb13,2026-12-31,true,"2026, creative",,,
Ein Buch schreiben und veröffentlichen,Ein Buch schreiben und veröffentlichen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Kreative Projekte,0,732a2db7-f25f-4b16-b73f-e56d27900672,2030-12-31,true,"2030, creative",,,
Einen Lamborghini selber fahren,Einen Lamborghini selber fahren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Besondere Erlebnisse,0,e3dccc5e-8bc8-40e3-8f2e-bdf8ee6624d8,2030-12-31,true,2030,,,
Einen sauberen Handstand 10s halten,Einen sauberen Handstand 10s halten - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Persönliche Challenges,0,fd03cb59-2b6e-4874-a863-62775b376ae1,2026-12-31,true,"2026, personal",,,
Eine Woche Digital Detox durchziehen,Eine Woche Digital Detox durchziehen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Persönliche Challenges,0,86596380-8db0-486e-80c4-4ed5da2fc101,2027-12-31,true,"2027, personal",,,
Ein vollständiges Lied auf dem Klavier lernen,Ein vollständiges Lied auf dem Klavier lernen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Lernen & Bildung,0,cdbf376f-cf2a-483b-8399-fcc1c68f08c3,2030-12-31,true,"2030, learning",,,
Eine Wintersportart ausprobieren,Eine Wintersportart ausprobieren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Persönliche Challenges,0,f6619759-4254-4e9b-82c6-1ca85fedf195,2030-12-31,true,"2030, personal",,,
Mit dem Fahrrad zur Nordsee fahren,Mit dem Fahrrad zur Nordsee fahren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Reisen & Abenteuer,0,ccc86aa8-e813-47e9-9ab1-75b36e1faa21,2030-12-31,true,"2030, travel",,,
Ein Bild/Gemälde malen,Ein Bild/Gemälde malen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Kreative Projekte,0,e9b9ed32-4883-4675-9734-3db0b3081414,2026-12-31,true,"2026, creative",,,
"Ein eigenes Gericht kreieren, benennen und veröffentlichen","Ein eigenes Gericht kreieren, benennen und veröffentlichen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.",planned,medium,Kreative Projekte,0,6231ab8a-44ad-4a5e-b2ab-239ec09ab156,2026-12-31,true,"2026, creative",,,
In einem Rennwagen auf der Rennstrecke mitfahren,In einem Rennwagen auf der Rennstrecke mitfahren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Besondere Erlebnisse,0,bb73c87a-e693-4b1c-bdc9-dbfb0ef90945,2027-12-31,true,2027,,,
In einem Rallye-Auto mitfahren,In einem Rallye-Auto mitfahren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Besondere Erlebnisse,0,a13dfa4a-1b7d-4d5a-8bc5-f67cc5eb461d,2030-12-31,true,2030,,,
Auf die Zugspitze,Auf die Zugspitze - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Reisen & Abenteuer,0,5db198b3-5852-4865-affa-ba44888c785e,2027-12-31,true,"2027, travel",,,
Einen Kinky Club besuchen,Einen Kinky Club besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Besondere Erlebnisse,0,ec598836-5b75-480b-a8ad-1e0247aa6e4c,2027-12-31,true,2027,,,
Einen Stand-Up Auftritt machen,Einen Stand-Up Auftritt machen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Persönliche Challenges,0,e5cbcd4a-895a-4683-bd73-9bacecf668fa,2030-12-31,true,"2030, personal",,,
"Einen eigenen Song schreiben, erstellen und veröffentlichen","Einen eigenen Song schreiben, erstellen und veröffentlichen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.",planned,medium,Kreative Projekte,0,3a410e61-2d7f-4483-8e01-2e116b051e6e,2026-12-31,true,"2026, creative",,,
Ein eigenes Videospiel erstellen und veröffentlichen,Ein eigenes Videospiel erstellen und veröffentlichen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Tech-Projekte,0,b2667861-71c4-413c-a573-30e4c8a3876f,2026-12-31,true,"2026, tech",,,
Singapur besuchen,Singapur besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Reisen & Abenteuer,0,13c3e865-0cfc-4c55-9d82-24cd5a384dde,2030-12-31,true,"2030, travel",,,
In einem guten Molekularküche-Restaurant essen gehen,In einem guten Molekularküche-Restaurant essen gehen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Besondere Erlebnisse,0,4d509fa3-bb15-42ac-98b5-6e3cdd608961,2027-12-31,true,2027,,,
Die Polarlichter sehen,Die Polarlichter sehen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Reisen & Abenteuer,0,1cd33145-2739-4bd5-a453-1adbe27a775a,2030-12-31,true,"2030, travel",,,
Den Polarkreis überqueren,Den Polarkreis überqueren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Reisen & Abenteuer,0,2e1a2690-b595-4731-b810-d5465383da25,2030-12-31,true,"2030, travel",,,
Ein Korn-Konzert besuchen,Ein Korn-Konzert besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Besondere Erlebnisse,0,076f784a-0784-4caa-9169-fedb242ffa4b,2027-12-31,true,2027,,,
Eine Woche autark in einer Waldhütte wohnen,Eine Woche autark in einer Waldhütte wohnen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Reisen & Abenteuer,0,642bd052-c92f-4b47-8aee-6bf6b463d7a5,2027-12-31,true,"2027, travel",,,
Eine KZ-Gedenkstätte besuchen,Eine KZ-Gedenkstätte besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Reisen & Abenteuer,0,28543570-0a2b-410d-b3db-de46cbea8643,2027-12-31,true,"2027, travel",,,
Einen eigenen Whirlpool besitzen,Einen eigenen Whirlpool besitzen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Große Lebensziele,0,1181aef8-6c4b-4bfd-a558-a988fa5ea353,2030-12-31,true,2030,,,
Ein eigenes Comic erstellen,Ein eigenes Comic erstellen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Kreative Projekte,0,90d87a63-e3d3-4862-8dbf-18f088449e35,2030-12-31,true,"2030, creative",,,
Eine Umweltaktion organisieren,Eine Umweltaktion organisieren - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Große Lebensziele,0,0cc43997-3fc6-495d-a85d-a01754e0540b,2027-12-31,true,2027,,,
Ein Gedicht schreiben,Ein Gedicht schreiben - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Kreative Projekte,0,0627082e-5081-4a4a-b2a8-ec00843761af,2030-12-31,true,"2030, creative",,,
3-Tage Survival ohne Vorräte,3-Tage Survival ohne Vorräte - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Persönliche Challenges,0,34dcc078-4a2b-43dc-a359-540b1f9cd8b7,2030-12-31,true,"2030, personal",,,
Eine Oper besuchen,Eine Oper besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Besondere Erlebnisse,0,0b68a700-8679-4729-8605-ef5db7ec05ba,2030-12-31,true,2030,,,
Einen Youtube Kanal starten und ein gut editiertes Video hochladen,Professioneller YouTube-Kanal mit regelmäßigen Videos über die Bucketlist-Reise. Erstes Video soll mindestens 1000 Aufrufe erreichen.,in_progress,high,Kreative Projekte,60,e3fa3b2e-26ee-45b8-9a5e-a48981a3507f,2025-12-31,true,"test, migration",,,
Die Liebe meines Lebens finden,Mission erfolgreich abgeschlossen! Die perfekte Partnerin gefunden und gemeinsam das Leben aufgebaut.,completed,high,Große Lebensziele,100,c05e1311-1e99-45ca-946a-1ef7e815600a,2025-12-31,true,"test, migration",,,
Eine Website erstellen und veröffentlichen,"Vollständige Entwicklung einer interaktiven Website mit React, modernem Design und Hosting. Das Bergkabuff-Projekt als digitale Heimat.",in_progress,high,Tech-Projekte,85,eaa6995f-ec60-4683-ae9b-1db982c00dcb,2025-12-31,true,"test, migration",,,